exercise_status	gender	hr
sedentary	M	196
sedentary	M	231
sedentary	M	186
sedentary	M	192
sedentary	M	212
sedentary	M	173
sedentary	M	180
sedentary	M	221
sedentary	M	176
sedentary	M	221
sedentary	M	197
sedentary	M	171
sedentary	M	218
sedentary	M	198
sedentary	M	223
sedentary	M	206
sedentary	M	207
sedentary	M	226
sedentary	M	179
sedentary	M	189
sedentary	M	202
sedentary	M	208
sedentary	M	191
sedentary	M	207
sedentary	M	221
sedentary	M	266
sedentary	M	197
sedentary	M	179
sedentary	M	191
sedentary	M	222
sedentary	M	243
sedentary	M	237
sedentary	M	178
sedentary	M	204
sedentary	M	195
sedentary	M	204
sedentary	M	185
sedentary	M	198
sedentary	M	216
sedentary	M	215
sedentary	M	160
sedentary	M	218
sedentary	M	219
sedentary	M	187
sedentary	M	215
sedentary	M	201
sedentary	M	209
sedentary	M	233
sedentary	M	189
sedentary	M	187
sedentary	M	175
sedentary	M	193
sedentary	M	247
sedentary	M	206
sedentary	M	187
sedentary	M	165
sedentary	M	162
sedentary	M	203
sedentary	F	167
sedentary	F	155
sedentary	F	193
sedentary	F	186
sedentary	F	194
sedentary	F	133
sedentary	F	188
sedentary	F	171
sedentary	F	146
sedentary	F	183
sedentary	F	201
sedentary	F	196
sedentary	F	151
sedentary	F	183
sedentary	F	191
sedentary	F	164
sedentary	F	186
sedentary	F	157
sedentary	F	169
sedentary	F	191
sedentary	F	171
sedentary	F	186
sedentary	F	180
sedentary	F	171
sedentary	F	180
sedentary	F	200
sedentary	F	168
sedentary	F	174
sedentary	F	180
sedentary	F	172
sedentary	F	158
sedentary	F	193
sedentary	F	191
sedentary	F	191
sedentary	F	171
sedentary	F	166
sedentary	F	172
sedentary	F	163
sedentary	F	211
sedentary	F	156
sedentary	F	174
sedentary	F	192
sedentary	F	171
sedentary	F	158
sedentary	F	179
sedentary	F	152
sedentary	F	171
sedentary	F	153
sedentary	F	139
sedentary	F	157
sedentary	F	154
sedentary	F	188
sedentary	F	184
sedentary	F	179
sedentary	F	163
sedentary	F	167
sedentary	F	176
sedentary	F	169
sedentary	F	168
sedentary	F	172
sedentary	F	170
sedentary	F	158
sedentary	F	170
sedentary	F	206
sedentary	F	168
sedentary	F	146
sedentary	F	173
sedentary	F	189
sedentary	F	198
sedentary	F	155
sedentary	F	183
sedentary	F	175
sedentary	F	201
sedentary	F	200
sedentary	F	181
sedentary	F	179
sedentary	F	181
sedentary	F	174
sedentary	F	162
sedentary	F	169
sedentary	F	184
sedentary	F	165
sedentary	F	162
sedentary	F	200
sedentary	F	148
sedentary	F	182
sedentary	F	204
sedentary	F	179
sedentary	F	180
sedentary	F	184
sedentary	F	142
sedentary	F	184
sedentary	F	162
sedentary	F	174
sedentary	F	172
sedentary	F	181
sedentary	F	179
sedentary	F	180
sedentary	F	165
sedentary	F	175
